id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p11,p12,p13,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p15_8,p15_9,p15_10,p15_11,p15_12,p16,p17_1,p17_2,p17_3,p17_4,p17_5,p17_6,p17_7,p17_8,p17_9,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p19_1,p19_2,p19_3,p19_4,p19_5,p19_6,p20_1,p20_2,p20_3,p20_4,p20_5,p20_6,p20_7,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p21_7,p22_1,p22_2,p22_3,p22_4,p22_5,p22_6,p22_7,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p25,gen_r,gen_sex,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
787,Hombre,41,35-44,500.000+,Sevilla,Andalucía,"Sí, con uno/a de 9 a 12 años",Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,B,Llego/se llega justo a final de mes,9,PP (Partido Popular),PP (Partido Popular),7,9,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,4,PP (Partido Popular),PP (Partido Popular),5,Mucho,Poco,Mucho,Bastante,Bastante,Bastante,Bastante,Diversidad cultural,,,,,,Inseguridad,,,,,,20,Ha crecido,Son demasiadas,Poca,Televisión,Radio,,,,,,,,,,,No lo sé,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,No,No,No,No,No,Sí,No,,,,,,Positiva,,Me gustaría,Me gustaría,Me gustaría,Me gustaría,Me gustaría,,Me gustaría,Muy bien,Muy bien,Bien,"Ni bien, ni mal",Bien,Muy bien,Bien,Bien,Muy bien,PP,Millennials,Hombre [Millennials],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",0.940809
788,Mujer,61,55-64,100.001 - 500.000,Tarragona,Cataluña,No convivo con ningún/a hijo/a,"Primer Grado (Certificado escolar, 1ª etapa de EGB, más o menos hasta los 10 años)",C,He tenido/se ha tenido que contraer deuda,3,JxCAT – Junts (Junts per Catalunya – Junts),JxCAT – Junts (Junts per Catalunya – Junts),5,0 No le votaría nunca,0 No le votaría nunca,2,6,0 No le votaría nunca,JxCAT – Junts (Junts per Catalunya – Junts),Junts-UE (Junts i Lliures per Europa),5,Mucho,Bastante,Bastante,Bastante,Mucho,Mucho,Mucho,,,,,,,Inseguridad,Desempleo,,,,,999,Ha crecido,Son demasiadas,Poca,Televisión,,,,,,,,,,,,Bastante,Muy de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,Sí,No,Sí,Sí,Sí,Sí,,"Ni positiva, ni negativa",,"Ni positiva, ni negativa","Ni positiva, ni negativa","Ni positiva, ni negativa","Ni positiva, ni negativa",No me gustaría nada,,No me gustaría nada,,,,,Mal,Mal,"Ni bien, ni mal",Muy mal,Muy mal,Muy mal,Bien,Bien,Regular,PSOE,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",0.954905
789,Hombre,43,35-44,< 10.000,Badajoz,Extremadura,"Sí, con uno/a de 9 a 12 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A1,Ahorro/se ahorra un poco de dinero cada mes,7,No lo sé,PSOE (Partido Socialista Obrero Español),7,6,5,6,5,6,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),5,Bastante,Bastante,Bastante,Bastante,Poco,Bastante,Bastante,,,,,,Crecimiento demográfico,,,,,,,5,Ha crecido,Son las adecuadas,Poca,Televisión,,,,,Redes sociales,,,,,,,Poca,Bastante de acuerdo,Nada de acuerdo,Poco de acuerdo,Nada de acuerdo,Bastante de acuerdo,No lo sé,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,No,Sí,Sí,Sí,,,Positiva,,Positiva,Positiva,Positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,Me gustaría,,,,Bien,Bien,Muy bien,Mal,"Ni bien, ni mal","Ni bien, ni mal",Muy bien,Muy bien,Muy bien,PP,Millennials,Hombre [Millennials],Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.883702
790,Hombre,52,45-54,50.001 - 100.000,Murcia,"Murcia, Región de",No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A2,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,8,6,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PP (Partido Popular),Vox,7,Mucho,Bastante,Poco,Bastante,Bastante,Bastante,Bastante,,Progreso económico,,,,,,,,,Pérdida de identidad cultural,,8,Ha crecido,Son las adecuadas,Bastante,,Radio,Periódicos,,,,,,,,,,Poca,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,No,Sí,Sí,Sí,Sí,Sí,Sí,,No lo sé,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,"Ni me gustaría, ni me disgustaría",,,,,,,Bien,Bien,Bien,Muy mal,Mal,Mal,Muy mal,Muy mal,No lo sé,Ninguno de los anteriores,Generacion X,Hombre [Generacion X],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.194359
791,Hombre,56,55-64,100.001 - 500.000,Cádiz,Andalucía,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,D,He tenido/se ha tenido que echar mano del ahorro,"10 Con toda seguridad, iría a votar",Podemos,Podemos,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,1,10 Le votaría siempre,0 No le votaría nunca,Sumar,Podemos,2,Mucho,Mucho,Mucho,Mucho,Nada,Mucho,Mucho,Diversidad cultural,,,,Apertura global,,,,,,,,8,Se ha mantenido más o menos igual,Son demasiadas pocas,Mucha,,,Periódicos,Influencers o youtubers,,,,,,,,,Mucha,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,,,,,,,,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Podemos,Generacion X,Hombre [Generacion X],Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",1.166302
792,Mujer,25,25-34,10.001 - 20.000,Sevilla,Andalucía,No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A2,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",Prefiero no contestar,Prefiero no contestar,0 No le votaría nunca,3,0 No le votaría nunca,4,0 No le votaría nunca,5,No lo sé,No lo sé,No lo sé,Bastante,Bastante,Bastante,Mucho,Mucho,Poco,Mucho,Diversidad cultural,Progreso económico,,,,,,,,,,,999,Ha crecido,Son las adecuadas,Mucha,,,,,,,,,,,Ninguno de los anteriores,,Bastante,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Sí,Sí,Sí,Sí,No,Sí,Sí,Muy positiva,Muy positiva,Muy positiva,Muy positiva,,Muy positiva,Muy positiva,,,,,Me gustaría,,,Muy bien,Bien,Muy bien,Bien,Bien,Bien,Muy bien,Muy bien,Bien,Ninguno de los anteriores,Generacion Z,Mujer [Generacion Z],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.951478
793,Mujer,56,55-64,100.001 - 500.000,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),6,8,0 No le votaría nunca,1,2,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),6,Bastante,Mucho,Mucho,Bastante,Mucho,Mucho,Mucho,,Progreso económico,,,,,,,,,,,999,Ha crecido,Son demasiadas,Mucha,Televisión,,Periódicos,,,,,,,,,,Poca,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Sí,No,Sí,Sí,Sí,Sí,Sí,"Ni positiva, ni negativa",,Positiva,"Ni positiva, ni negativa",Positiva,"Ni positiva, ni negativa",Positiva,,"Ni me gustaría, ni me disgustaría",,,,,,Mal,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",No lo sé,Bien,Bien,Ninguno de los anteriores,Generacion X,Mujer [Generacion X],Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",0.942756
794,Hombre,38,35-44,100.001 - 500.000,Granada,Andalucía,"Sí, con uno/a de 13 a 17 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A2,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",Votaría nulo,Ninguno,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),Voté nulo,4,Mucho,Mucho,Nada,Bastante,Mucho,Poco,Mucho,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,20,Ha crecido,Son demasiadas,Bastante,Televisión,,Periódicos,,,,,,,,,,Poca,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,Sí,Sí,Sí,Sí,,,"Ni positiva, ni negativa","Ni positiva, ni negativa",Negativa,"Ni positiva, ni negativa","Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,,Mal,Muy mal,"Ni bien, ni mal",Mal,Mal,"Ni bien, ni mal",Muy mal,Muy mal,Bien,Se Acabó La Fiesta,Millennials,Hombre [Millennials],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.913293
795,Mujer,59,55-64,< 10.000,Lleida,Cataluña,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Prefiero no contestar,Prefiero no contestar,No lo sé,Mucho,Bastante,Bastante,Mucho,Bastante,Bastante,Poco,,,,,,,Inseguridad,Desempleo,,,,,999,Ha crecido,No lo sé,Poca,Televisión,,,,,Redes sociales,,,,,,,No lo sé,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,No lo sé,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No lo sé,No lo sé,No lo sé,Debería permitirse sin limitaciones,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No,No,Sí,Sí,Sí,Sí,Sí,,,Positiva,Positiva,Positiva,Positiva,Positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,,Bien,Bien,Bien,Bien,Bien,Bien,Bien,No lo sé,Bien,No lo sé,Generacion X,Mujer [Generacion X],Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.196927
796,Mujer,49,45-54,20.001 - 50.000,Alicante/Alacant,Comunitat Valenciana,"Sí, con uno/a de 13 a 17 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),3,9,3,3,5,3,PP (Partido Popular),PP (Partido Popular),8,Bastante,Bastante,Bastante,Bastante,Bastante,Mucho,Bastante,,,,,,,,Desempleo,,,,Conflictividad social,20,Se ha mantenido más o menos igual,Son las adecuadas,Poca,Televisión,,,,,Redes sociales,,,,,,,Poca,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No,Sí,Sí,Sí,Sí,Sí,Sí,,Muy positiva,Muy positiva,Positiva,Positiva,Muy positiva,Positiva,Me gustaría,,,,,,,Bien,Mal,Bien,Mal,Bien,Bien,Muy bien,Muy bien,Muy bien,PP,Generacion X,Mujer [Generacion X],Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",0.873247
797,Mujer,34,25-34,< 10.000,Albacete,Castilla - La Mancha,"Sí, con uno/a de 0 a 8 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E1,Llego/se llega justo a final de mes,5,Vox,Vox,0 No le votaría nunca,0 No le votaría nunca,9,0 No le votaría nunca,0 No le votaría nunca,No lo sé,No lo sé,Vox,5,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,,Progreso económico,,,,,,Desempleo,,,,,70,Ha crecido,Son demasiadas,Bastante,Televisión,,,,,,,,,,,,Bastante,Bastante de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,Sí,Sí,Sí,Sí,,,,"Ni positiva, ni negativa",Negativa,"Ni positiva, ni negativa","Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Muy mal,Regular,Ninguno de los anteriores,Millennials,Mujer [Millennials],Menos de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",0.91286
798,Hombre,48,45-54,< 10.000,Valencia/València,Comunitat Valenciana,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,B,Ahorro/se ahorra un poco de dinero cada mes,4,PP (Partido Popular),PP (Partido Popular),3,10 Le votaría siempre,2,1,2,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PP (Partido Popular),6,Bastante,Nada,Nada,Bastante,Mucho,Nada,Poco,,,,,,Crecimiento demográfico,Inseguridad,,,,,,14,Ha crecido,Son demasiadas,Poca,Televisión,,,,,,,,,,,,No lo sé,Muy de acuerdo,Nada de acuerdo,Poco de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No debería permitirse,No debería permitirse,Debería permitirse sin limitaciones,No debería permitirse,No debería permitirse,No debería permitirse,No,No,No,Sí,Sí,No,No,,,,Negativa,Negativa,,,No me gustaría,No me gustaría,No me gustaría,,,No me gustaría,No me gustaría,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Bien,PP,Generacion X,Hombre [Generacion X],Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",0.860779
799,Mujer,45,45-54,20.001 - 50.000,Cádiz,Andalucía,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,B,He tenido/se ha tenido que echar mano del ahorro,"10 Con toda seguridad, iría a votar",Votaría en blanco,PP (Partido Popular),0 No le votaría nunca,9,5,0 No le votaría nunca,0 No le votaría nunca,9,Voté en blanco,Voté en blanco,5,Mucho,Mucho,Nada,Poco,Bastante,Bastante,Mucho,,,,Tolerancia,,,,,Sobrecarga de servicios y recursos públicos,,,,30,Ha crecido,Son las adecuadas,Bastante,Televisión,,,,,Redes sociales,,,,,,,Mucha,Poco de acuerdo,Poco de acuerdo,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,No,Sí,Sí,Sí,,,Positiva,,"Ni positiva, ni negativa","Ni positiva, ni negativa","Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría",,,,Bien,Bien,Bien,Bien,Bien,Bien,Mal,Mal,Bien,Vox,Generacion X,Mujer [Generacion X],Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",0.927947
800,Mujer,18,18-24,100.001 - 500.000,Bizkaia,País Vasco,No convivo con ningún/a hijo/a,"Primer Grado (Certificado escolar, 1ª etapa de EGB, más o menos hasta los 10 años)",E1,He tenido/se ha tenido que contraer deuda,"0 Con toda seguridad, no iría a votar",No votaría,Ninguno,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,No tenía edad para votar,No voté,0 Extrema izquierda,Mucho,Poco,Bastante,Mucho,Poco,Poco,Poco,,,,,,,,Desempleo,,,,,999,Ha crecido,Son demasiadas,Poca,,,,,,Redes sociales,,,,,,,No lo sé,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,,,,,,,,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Muy bien,No lo sé,Mal,Muy bien,Muy bien,No lo sé,No lo sé,No lo sé,Ninguno de los anteriores,Generacion Z,Mujer [Generacion Z],Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, primer ciclo y menos",0.88854
801,Hombre,51,45-54,100.001 - 500.000,Madrid,"Madrid, Comunidad de","Sí, con uno/a de 13 a 17 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",No lo sé,PSOE (Partido Socialista Obrero Español),4,0 No le votaría nunca,0 No le votaría nunca,3,0 No le votaría nunca,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),4,Mucho,Mucho,Mucho,Mucho,Poco,Bastante,Mucho,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,70,Ha crecido,Son demasiadas,Bastante,Televisión,,Periódicos,,,,,,,,,,Mucha,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,Sí,No,No lo sé,Sí,Sí,Sí,,"Ni positiva, ni negativa",,,"Ni positiva, ni negativa","Ni positiva, ni negativa",Positiva,"Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Bien,Bien,Bien,Ninguno de los anteriores,Generacion X,Hombre [Generacion X],Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",0.867764
802,Hombre,38,35-44,20.001 - 50.000,Bizkaia,País Vasco,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,A2,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",Sumar,Sumar,8,1,1,8,5,0 No le votaría nunca,Sumar,Sumar,3,Bastante,Poco,Bastante,Mucho,Mucho,Bastante,Mucho,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,30,Se ha mantenido más o menos igual,No lo sé,Poca,Televisión,,Periódicos,,,,,,,,,,Mucha,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Muy de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,Sí,No,Sí,Sí,,,,Positiva,,Positiva,Positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría",,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Mal,"Ni bien, ni mal",Mal,Regular,Regular,Bien,Ninguno de los anteriores,Millennials,Hombre [Millennials],Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",0.821884
